inning,inning_side,bases,outs,-4,-3,-2,-1,0,1,2,3,4
7,top,000,2,0.1,0.2,0.4,0.5,0.8,0.8,0.6,0.3,0.2
7,top,100,2,0.2,0.4,0.6,1,1.5,1.6,1.2,0.7,0.4
7,top,010,2,0.3,0.6,0.9,1.4,2.1,2.2,1.5,0.9,0.6
7,top,001,2,0.4,0.7,1.1,1.7,2.5,2.5,1.7,1.1,0.6
7,top,110,2,0.4,0.8,1.2,1.9,2.9,3.2,2.5,1.7,1
7,top,101,2,0.5,0.8,1.4,2.1,3.1,3.4,2.6,1.7,1.1
7,top,011,2,0.5,0.9,1.5,2.3,3.4,3.9,3.1,2,1.2
7,top,111,2,0.7,1.2,2,3.1,4.7,5.4,4.5,3.3,2.1
7,bottom,000,0,0.8,1.2,1.6,1.9,1.5,0.8,0.4,0.2,0.1
7,bottom,100,0,1.4,2,2.6,3,2.3,1.2,0.7,0.4,0.2
7,bottom,010,0,1.3,1.8,2.3,2.4,1.8,0.9,0.5,0.3,0.1
7,bottom,001,0,1.3,1.8,2.2,2,1.5,0.8,0.4,0.2,0.1
7,bottom,110,0,2.2,3,3.6,3.5,2.5,1.3,0.8,0.4,0.2
7,bottom,101,0,2.1,2.8,3.3,2.8,1.7,0.9,0.5,0.3,0.1
7,bottom,011,0,2,2.6,2.9,2.6,1.7,0.9,0.5,0.3,0.1
7,bottom,111,0,3.3,4,4.1,3.5,2.3,1.2,0.7,0.4,0.2
